customer_id,customer_name,customer_type,industry_code,credit_limit,payment_terms,customer_since,status,billing_address,shipping_address,contact_email,contact_phone,account_manager,created_at,updated_at,_loaded_at
1,"Johnson, Miller and King",SME,RETAIL,345489.8591267209,Net 30,2025-07-21,ACTIVE,"Flat 55 26 Kathryn Roadway
Martinfurt, ACT, 2634","4 Jones Concourse
Adkinstown, SA, 2285",baldwinjason@example.com,(03).1455.4472,Nicholas Yoder,2023-12-04 07:09:59.433465,2025-09-14 12:51:12.261501,2025-09-20 09:14:58.773018
2,"Bryan, Smith and Booth",SME,AUTO,134287.37038958503,COD,2025-01-13,ACTIVE,"467/20 Brown Circle
St. Jameshaven, WA, 2619","33 Mcclure Brow
St. Aliciaborough, WA, 2638",daniel16@example.net,08 0048 9974,Erin Johnson,2023-07-02 07:22:10.406578,2025-09-11 02:37:33.153512,2025-09-20 16:38:30.474429
3,"Cox, Avila and Garrett",Individual,TECH,244258.9779920016,Net 30,2022-11-18,ACTIVE,"Level 7 3 Beck Brae
East Tommy, SA, 2688","933/8 Justin Track
St. Christopherfurt, ACT, 2693",derekhernandez@example.com,(03) 2597 3037,Debra Wilson,2024-04-22 04:07:13.288507,2024-11-30 23:39:34.224716,2025-09-20 13:55:55.333981
4,"Anderson, Roberts and Gilmore",Enterprise,TECH,66389.04894569647,Prepaid,2023-05-01,ACTIVE,"41 Gordon Green
Powersfurt, ACT, 2649","5 Campbell Ramp
Johnchester, ACT, 2650",corey22@example.com,(07) 0837 4320,Brittany Thompson,2025-04-22 11:11:28.290150,2025-03-17 22:42:13.703257,2025-09-20 13:18:40.807948
5,"Lynch, Allen and Moore",SME,HEALTH,223939.7687800457,Prepaid,2022-10-21,ACTIVE,"Level 6 8 Zavala Parklands
New Wendy, WA, 0264","788 Jessica Tarn
North Bettychester, WA, 0277",courtneygutierrez@example.net,6083-0773,Jennifer Martinez,2023-08-24 02:10:00.346207,2025-01-18 01:13:25.958017,2025-09-20 09:31:29.193266
6,Walker Inc,Individual,AUTO,182624.98292428712,Net 15,2024-05-17,ACTIVE,"63 Timothy Bridge
Lake Jared, VIC, 2916","Unit 65 64 Bailey Ground
South Johnhaven, NSW, 0854",danielbaker@example.org,+61-8-7585-9877,Robert Allen,2024-01-09 21:12:20.096675,2024-11-13 06:59:41.044713,2025-09-20 00:40:27.289215
7,Jimenez Ltd,SME,AUTO,390228.48890925513,COD,2023-01-26,ACTIVE,"Suite 386 8 Lawson Lower
New Zacharyhaven, VIC, 6320","Flat 10 693 Watson Esplanade
West Jamesbury, QLD, 2435",prodriguez@example.org,5733.3538,Ann Hogan,2024-08-23 05:38:23.613731,2025-04-27 11:11:27.367755,2025-09-20 07:26:48.606000
8,Davenport-Baird,SME,MFG,151164.92467889655,Net 15,2024-11-01,ACTIVE,"Unit 40 08 Thomas River
Harmonmouth, WA, 2604","507/264 Ryan Mews
Port Scottville, TAS, 0914",marc96@example.com,08.9023.8940,William Freeman,2023-11-15 16:56:39.529123,2025-05-10 09:41:27.863137,2025-09-19 23:41:38.445490
9,Lee-Greene,Individual,TECH,329184.6668000353,Prepaid,2024-05-16,ACTIVE,"Unit 56 07 Porter Gully
Jonathanchester, NSW, 6038","21/48 Jessica Fire Track
St. Heidi, WA, 2690",gsnyder@example.org,(08).9476.1927,Samantha Robinson,2025-09-09 10:53:13.487367,2024-12-01 20:54:01.308257,2025-09-20 16:11:45.047747
10,Hill Group,Enterprise,AUTO,248513.01661618587,Net 15,2023-02-16,ACTIVE,"736 Stanley Dip
North Jasmin, NT, 2637","Apt. 695 25 Elizabeth Crescent
Lake William, QLD, 2907",sheltondanielle@example.net,0412 079 624,April Gordon,2023-01-28 00:56:03.980025,2025-05-02 19:36:36.634455,2025-09-20 00:47:15.061538
11,Hoover-Campbell,Individual,HEALTH,295527.3685616354,COD,2025-01-30,ACTIVE,"757 Lawson Pocket
Port Frankport, NT, 0885","82 Schmidt Walk
New Mariastad, NSW, 2985",clarkroberto@example.com,0409-952-242,Joanne Anderson,2022-12-17 07:23:56.165015,2024-11-21 06:52:00.056510,2025-09-19 22:20:19.676999
12,"Burns, Hernandez and Ryan",Individual,F&B,382236.81201182556,Prepaid,2024-06-24,ACTIVE,"Level 8 98 Antonio Crossroad
Port Stephanietown, QLD, 6220","644/45 John Riviera
North Jonathanstad, NT, 2932",jamesthompson@example.net,+61.7.6173.7201,Kayla Johnson,2022-10-16 14:54:51.626605,2024-09-27 21:39:51.193846,2025-09-19 19:25:04.473841
